frame,timestamp,x_A,y_A,activity_roi_A,hit_A,x_B,y_B,activity_roi_B,hit_B,hits_total,condicion
0,0.44,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
1,0.53500000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
2,0.56999999999999995,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
3,0.59699999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
4,0.63,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
5,0.66300000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
6,0.69299999999999995,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
7,0.72599999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
8,0.75800000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
9,0.79000000000000004,NaN,NaN,False,False,392.84848,239.121216,False,False,0,competicion
10,0.82199999999999995,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
11,0.85399999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
12,0.88600000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
13,0.93400000000000005,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
14,0.96599999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
15,0.998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
16,1.03,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
17,1.0620000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
18,1.0940000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
19,1.1259999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
20,1.1579999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
21,1.1890000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
22,1.2210000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
23,1.2529999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
24,1.2849999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
25,1.333,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
26,1.365,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
27,1.397,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
28,1.4299999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
29,1.4610000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
30,1.492,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
31,1.524,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
32,1.5569999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
33,1.589,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
34,1.621,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
35,1.6639999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
36,1.6910000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
37,1.7330000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
38,1.7649999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
39,1.7969999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
40,1.829,NaN,NaN,False,False,379.299988,240.199997,False,False,0,competicion
41,1.861,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
42,1.8919999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
43,1.9239999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
44,1.956,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
45,1.988,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
46,2.0209999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
47,2.0529999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
48,2.085,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
49,2.1320000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
50,2.165,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
51,2.198,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
52,2.2320000000000002,NaN,NaN,False,False,442.960785,397.980377,False,False,0,competicion
53,2.2629999999999999,NaN,NaN,False,False,440.955566,397.399994,False,False,0,competicion
54,2.2959999999999998,NaN,NaN,False,False,444.649109,398.438599,False,False,0,competicion
55,2.3250000000000002,NaN,NaN,False,False,443.282043,398.10257,False,False,0,competicion
56,2.3570000000000002,NaN,NaN,False,False,443.649994,398.200012,False,False,0,competicion
57,2.3889999999999998,NaN,NaN,False,False,443.385956,398.14035,False,False,0,competicion
58,2.4209999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
59,2.452,NaN,NaN,False,False,444.703705,398.370361,False,False,0,competicion
60,2.4849999999999999,NaN,NaN,False,False,443.137268,397.882355,False,False,0,competicion
61,2.5329999999999999,NaN,NaN,False,False,444.5,398.229156,False,False,0,competicion
62,2.569,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
63,2.597,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
64,2.629,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
65,2.661,NaN,NaN,False,False,405.245605,246.385971,False,False,0,competicion
66,2.6930000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
67,2.7240000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
68,2.7570000000000001,NaN,NaN,False,False,442.200012,397.700012,False,False,0,competicion
69,2.7890000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
70,2.8199999999999998,NaN,NaN,False,False,402.911102,246.35556,False,False,0,competicion
71,2.8530000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
72,2.8849999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
73,2.9329999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
74,2.9649999999999999,NaN,NaN,False,False,402.454559,246.27272,False,False,0,competicion
75,2.9969999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
76,3.032,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
77,3.0760000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
78,3.117,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
79,3.133,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
80,3.1560000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
81,3.1880000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
82,3.2200000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
83,3.2519999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
84,3.2839999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
85,3.3340000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
86,3.3690000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
87,3.4119999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
88,3.4489999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
89,3.4670000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
90,3.4929999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
91,3.524,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
92,3.5569999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
93,3.5880000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
94,3.621,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
95,3.6520000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
96,3.6850000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
97,3.7349999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
98,3.786,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
99,3.8170000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
100,3.8330000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
101,3.8620000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
102,3.8929999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
103,3.9249999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
104,3.956,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
105,3.9889999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
106,4.0209999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
107,4.0529999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
108,4.0839999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
109,4.133,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
110,4.1639999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
111,4.1959999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
112,4.2279999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
113,4.2599999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
114,4.2930000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
115,4.3250000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
116,4.3570000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
117,4.3890000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
118,4.4210000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
119,4.4530000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
120,4.4870000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
121,4.532,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
122,4.5650000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
123,4.5979999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
124,4.6289999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
125,4.6609999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
126,4.6929999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
127,4.7249999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
128,4.7569999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
129,4.79,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
130,4.8209999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
131,4.8529999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
132,4.8840000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
133,4.9340000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
134,4.9640000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
135,4.9969999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
136,5.0289999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
137,5.0640000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
138,5.1040000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
139,5.1239999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
140,5.1559999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
141,5.1890000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
142,5.2210000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
143,5.2530000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
144,5.2839999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
145,5.3319999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
146,5.3689999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
147,5.4169999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
148,5.4379999999999997,NaN,NaN,False,False,406.5,244.399994,False,False,0,competicion
149,5.4610000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
150,5.492,NaN,NaN,False,False,406.966675,244.166672,False,False,0,competicion
151,5.5270000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
152,5.5609999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
153,5.6050000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
154,5.6280000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
155,5.6539999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
156,5.6849999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
157,5.7350000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
158,5.7770000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
159,5.8170000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
160,5.8390000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
161,5.8609999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
162,5.8920000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
163,5.9240000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
164,5.9569999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
165,5.9939999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
166,6.0389999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
167,6.0609999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
168,6.0860000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
169,6.1379999999999999,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
170,6.1669999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
171,6.1989999999999998,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
172,6.2430000000000003,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
173,6.2690000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
174,6.2930000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
175,6.3250000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
176,6.3789999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
177,6.4400000000000004,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
178,6.5229999999999997,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
179,6.5439999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
180,6.5759999999999996,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
